"n","distribution","best_method","best_coverage"
20,"chisq","normal",0.9198
20,"contaminated_normal","normal",0.9427
20,"exponential","bca",0.918710581639804
20,"lognormal","bca",0.9169
20,"normal","normal",0.9261
20,"t","normal",0.9307
30,"chisq","bca",0.933
30,"contaminated_normal","normal",0.945
30,"exponential","bca",0.921368547418968
30,"lognormal","normal",0.9295
30,"normal","normal",0.9366
30,"t","normal",0.9411
40,"chisq","bca",0.9387
40,"contaminated_normal","normal",0.9446
40,"exponential","bca",0.928285657131426
40,"lognormal","bca",0.9309
40,"normal","bca",0.9415
40,"t","normal",0.9385
50,"chisq","normal",0.9388
50,"contaminated_normal","normal",0.9476
50,"exponential","bca",0.939193919391939
50,"lognormal","bca",0.9364
50,"normal","normal",0.9381
50,"t","normal",0.9468
